Influent NH4+-N,Influent TN,Influent Flowrate,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Effluent TN,Energy Consumption,External Carbon Source
18.97,21.96,44572.19,8.47,32.37,56.18,8.17,6.94,25.56,7.36,5.9,16632.02,3.38
30.95,34.45,48427.77,7.9,15.15,45.19,9.37,0.13,39.02,6.22,4.4,18125.25,3.88
36.1,39.19,55990.12,8.58,19.81,41.48,15.05,0.12,36.08,7.49,5.22,20214.13,2.7
31.99,34.59,54955.17,8.53,17.38,40.73,12.34,0.13,36.93,7.22,5.06,20320.85,3.1
35.76,38.77,55110.43,8.56,19.94,42.12,15.05,0.09,36.2,7.43,5.22,20097.48,2.73
29.96,34.39,20021.67,9.63,26.26,38.61,6.14,6.55,33.64,6.14,5.23,5895.33,0.7
16.77,20.78,11284.83,8.17,24.42,45.48,6.73,5.57,27.25,8.51,6.23,4344.7,0.8
29.91,34.35,20633.44,9.64,26.2,38.3,6.21,6.66,33.87,6.02,5.24,5939.49,0.68
30.48,34.67,20252.39,9.65,26.27,38.13,6.14,6.56,34.07,5.99,5.25,5928.68,0.69
11.03,17.6,65971.31,10.61,10.82,24.72,5.33,0.13,23.74,5.36,5.52,20768.43,2.1
12.53,18.44,67048.43,9.61,11.91,19.77,7.54,0.14,19.79,5.49,5.46,20532.91,1.68
10.76,18.07,65661.02,10.66,10.67,22.89,5.1,0.13,23.07,5.45,5.43,20670.59,2.17
15.31,19.42,65575.87,10.62,10.92,27.32,6.71,0.13,21.97,4.93,5.17,20574.73,2.28
37.45,44.55,32133.28,7.3,18.97,66.89,10.24,0.08,41.06,6.27,5.44,18134.32,3.04
34.11,40.8,32371.01,7.73,17.78,62.4,9.26,0.08,41.63,5.75,5.4,18013.75,3.32
35.15,42.62,32178.5,7.22,19.11,64.12,9.78,0.08,41.86,6.02,5.39,17984.32,3.15
36.14,41.14,31217.52,8.36,19.27,66.25,8.54,0.08,43.01,6.96,6.25,17697.34,2.4
26.78,31.61,44671.78,2.2,29.89,61.38,9.56,2.7,28.7,8.4,5.86,17221.2,3.84
24.89,26.8,51939.76,2.29,29.09,65.53,9.26,1.43,35.97,7.39,4.99,16638.71,4.11
23.56,28.02,44993.79,1.98,31.37,61.25,9.72,2.86,29.19,7.61,5.5,16601.93,4.03
21.94,26.76,45302.03,2.57,27.29,55.12,10.14,1.48,28.37,8.73,4.57,19232.91,3.72
23.22,29.74,43364.51,2.55,32.31,58.14,10.18,2.66,28.41,8.98,5.4,16130.61,4.12
22.99,29.7,43876.65,2.54,32.23,58.27,10.09,2.67,28.85,8.94,5.4,16163.07,4.12
22.93,30.06,43338.92,2.59,32.16,58.72,10.04,2.67,28.76,8.92,5.4,16304.85,4.06
22.76,29.42,43360.21,2.54,32.33,58.36,10.04,2.68,28.6,8.77,5.4,16108.55,4.11
14.83,16.63,65511.85,8.98,12.46,25.1,6.8,0.14,24.01,5.62,5.6,20750,1.7
14.26,15.54,65418.96,8.93,12.31,28.5,7.05,0.15,23.94,5.63,5.1,20642.78,1.89
14.17,14.73,66372.26,9.09,12.83,33.86,8.51,0.15,21.41,5.97,5.08,20835.84,1.89
14.05,14.85,65298.5,9.02,12.52,31.96,8.15,0.16,22.76,5.74,5.34,20774.49,2.17
23.05,25.88,37017.03,9.25,18.19,46.41,12.09,2.68,31.77,5.8,5.55,13582.84,2.61
23.17,25.86,36609.31,9.25,18.35,46.98,12.2,2.71,31.8,5.75,5.53,13653.69,2.61
23.43,25.81,36810.84,9.22,18.58,45.78,11.9,2.76,31.91,5.83,5.5,13403.42,2.6
23.11,25.73,36831.64,9.19,18.39,46.57,12.05,2.61,31.61,5.72,5.53,13521.88,2.54
34.01,40.11,32143.69,8.43,16.1,60.55,7.04,0.08,40.89,5.42,5.55,18010.82,2.94
34.48,40.93,32030.47,8.28,16.44,61,6.92,0.08,40.83,5.47,5.55,18003.38,2.8
35.58,40.14,31309.52,8.65,18.55,65.35,8.24,0.08,42.9,6.83,6.26,17709.61,2.48
32.58,37.66,32482.63,8.88,15.08,59.21,7.42,0.08,41.06,5.28,5.55,18033.09,3.34
33.36,38.99,32298.31,8.63,15.63,59.94,7.21,0.08,40.97,5.36,5.55,18020.98,3.12
36.43,42.92,31969.86,8.06,17.09,63.87,7.83,0.08,40.52,5.81,5.57,18093.7,2.74
35.91,40.8,31517.05,8.21,18.06,67.63,7.78,0.08,42.01,5.94,5.68,18025.13,2.97
32.12,36.87,32591.73,9.02,14.75,58.78,7.54,0.08,41.12,5.24,5.55,18040.26,3.47
13.94,15.56,65503.79,9,12.46,28.93,8.21,0.16,22.38,5.61,5.46,20710.14,2.1
13.89,16.04,65968.63,9,12.5,27.26,8.36,0.15,21.71,5.58,5.48,20680.9,1.97
14.15,15.02,66750.89,9.1,12.88,32.97,8.63,0.15,20.88,5.97,5.07,20822.54,1.78
13.99,17.61,67432.45,8.97,12.54,21.46,7.95,0.14,20.68,5.49,5.26,20533.75,1.37
26.11,29.58,65991.92,8.58,17.83,49.65,9.2,0.13,39.61,7.13,5.67,22227.71,4.11
27.47,30.55,64593.17,9.1,17.81,35.79,7.55,0.13,38.6,7.72,5.99,22393.26,3.54
26.33,28.93,66806.29,8.72,18.5,39.74,8.26,0.13,35.17,7.82,5.15,22000.17,2.58
